good_key,product_group,cn_code,goods_description
72249007-semi-finished-products-of-alloy-steel-ot,Iron and steel,7224 90 07,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring < twice the thickness (excl. of tool steel, high-speed steel and articles of subheading 7224.90.05)"
72249014-semi-finished-products-of-alloy-steel-ot,Iron and steel,7224 90 14,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring >= twice the thickness (excl. of tool steel)"
72249018-semi-finished-products-of-alloy-steel-ot,Iron and steel,7224 90 18,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, forged (excl. of tool steel)"
72249031-semi-finished-products-of-steel-containi,Iron and steel,7224 90 31,"Semi-finished products of steel containing by weight 0,9% to 1,15% carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting"
72249038-semi-finished-products-of-alloy-steel-ot,Iron and steel,7224 90 38,"Semi-finished products of alloy steel, other than stainless steel, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0,9% to 1,15% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum)"
72249090-semi-finished-products-of-alloy-steel-ot,Iron and steel,7224 90 90,"Semi-finished products of alloy steel, other than stainless steel, forged (excl. of tool steel and products of square or rectangular, circular or polygamol cross-section)"
7225-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"""
72251100-flat-rolled-products-of-silicon-electric,Iron and steel,7225 11 00,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented"
72251910-flat-rolled-products-of-silicon-electric,Iron and steel,7225 19 10,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, hot-rolled"
72251990-flat-rolled-products-of-silicon-electric,Iron and steel,7225 19 90,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", non-grain-oriented"
722530-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225 30,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of silicon-electrical steel)"
722540-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225 40,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils (excl. products of silicon-electrical steel)"
722550-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225 50,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of silicon-electrical steel)"
72259100-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225 91 00,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel)"
72259200-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225 92 00,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)"
72259900-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7225 99 00,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. plated or coated with zinc and products of silicon-electrical steel)"
7226-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7226,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"""
72261100-flat-rolled-products-of-silicon-electric,Iron and steel,7226 11 00,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", grain-oriented"
72261910-flat-rolled-products-of-silicon-electric,Iron and steel,7226 19 10,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, not further worked than hot-rolled"
72261980-flat-rolled-products-of-silicon-electric,Iron and steel,7226 19 80,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, cold-rolled ""cold-reduced"", whether or not further worked, or hot-rolled and further worked, non-grain-oriented"
72262000-flat-rolled-products-of-high-speed-steel,Iron and steel,7226 20 00,"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ""cold-reduced"""
722691-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7226 91,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel)"
72269200-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7226 92 00,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of high-speed steel or silicon-electrical steel)"
722699-flat-rolled-products-of-alloy-steel-othe,Iron and steel,7226 99,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. products of high-speed steel or silicon-electrical steel)"
7227-bars-and-rods-of-alloy-steel-other-than,Iron and steel,7227,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils"
7228-other-bars-and-rods-of-alloy-steel-other,Iron and steel,7228,"Other bars and rods of alloy steel other than stainless, angles, shapes and sections of alloy steel other than stainless, n.e.s.; hollow drill bars and rods, of alloy or non-alloy steel"
72281020-bars-and-rods-of-high-speed-steel-not-fu,Iron and steel,7228 10 20,"Bars and rods of high-speed steel, not further worked than hot-rolled, hot-drawn or extruded, and hot-rolled, hot-drawn or extruded, not further worked than clad (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
72281050-bars-and-rods-of-high-speed-steel-forged,Iron and steel,7228 10 50,"Bars and rods of high-speed steel, forged (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
72281090-bars-and-rods-of-high-speed-steel-not-fu,Iron and steel,7228 10 90,"Bars and rods of high-speed steel, not further worked than cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked (excl. forged products, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
722820-bars-and-rods-of-silico-manganese-steel,Iron and steel,7228 20,"Bars and rods of silico-manganese steel (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
722830-bars-and-rods-of-alloy-steel-other-than,Iron and steel,7228 30,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
722840-bars-and-rods-of-alloy-steel-other-than,Iron and steel,7228 40,"Bars and rods of alloy steel other than stainless, not further worked than forged (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
722850-bars-and-rods-of-alloy-steel-other-than,Iron and steel,7228 50,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
722860-bars-and-rods-of-alloy-steel-other-than,Iron and steel,7228 60,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further worked or hot-formed and further worked, n.e.s. (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)"
722870-angles-shapes-and-sections-of-alloy-stee,Iron and steel,7228 70,"Angles, shapes and sections of alloy steel other than stainless, n.e.s."
72288000-hollow-drill-bars-and-rods-of-alloy-or-n,Iron and steel,7228 80 00,"Hollow drill bars and rods, of alloy or non-alloy steel"
7229-wire-of-alloy-steel-other-than-stainless,Iron and steel,7229,"Wire of alloy steel other than stainless, in coils (excl. bars and rods)"
7301-sheet-piling-of-iron-or-steel-whether-or,Iron and steel,7301,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel"
7302-railway-or-tramway-track-construction-ma,Iron and steel,7302,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers ""cross-ties"", fish-plates, chairs, chair wedges, sole plates ""base plates"", rail clips, bedplates, ties and other material specialised for jointing or fixing rails"
7303-tubes-pipes-and-hollow-profiles-of-cast,Iron and steel,7303,"Tubes, pipes and hollow profiles, of cast iron"
730300-tubes-pipes-and-hollow-profiles-of-cast,Iron and steel,7303 00,"Tubes, pipes and hollow profiles, of cast iron"
7304-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)"
73041100-line-pipe-of-a-kind-used-for-oil-or-gas,Iron and steel,7304 11 00,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel"
730419-line-pipe-of-a-kind-used-for-oil-or-gas,Iron and steel,7304 19,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excl. products of stainless steel or of cast iron)"
73042200-drill-pipe-seamless-of-stainless-steel-o,Iron and steel,7304 22 00,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas"
73042300-drill-pipe-seamless-of-a-kind-used-in-dr,Iron and steel,7304 23 00,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excl. products of stainless steel or of cast iron)"
73042400-casing-and-tubing-seamless-of-a-kind-use,Iron and steel,7304 24 00,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel"
730429-casing-and-tubing-seamless-of-iron-or-st,Iron and steel,7304 29,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron)"
730431-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 31,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)"
730439-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 39,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)"
73044100-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 41 00,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)"
730449-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 49,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)"
730451-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 51,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)"
730459-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 59,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)"
73049000-tubes-pipes-and-hollow-profiles-seamless,Iron and steel,7304 90 00,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron)"
7305-tubes-and-pipes-having-circular-cross-se,Iron and steel,7305,"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed"""
7306-tubes-pipes-and-hollow-profiles-e-g-open,Iron and steel,7306,"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)"
73061100-line-pipe-of-a-kind-used-for-oil-or-gas,Iron and steel,7306 11 00,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm"
73061900-line-pipe-of-a-kind-used-for-oil-or-gas,Iron and steel,7306 19 00,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)"
73062100-casing-and-tubing-of-a-kind-used-in-dril,Iron and steel,7306 21 00,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm"
73062900-casing-and-tubing-of-a-kind-used-in-dril,Iron and steel,7306 29 00,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)"
73063012-precision-tubes-welded-of-circular-cross,Iron and steel,7306 30 12,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"""
73063018-precision-tubes-welded-of-circular-cross,Iron and steel,7306 30 18,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel (excl. cold-drawn or cold-rolled)"
73063041-threaded-or-threadable-tubes-gas-pipe-we,Iron and steel,7306 30 41,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel, plated or coated with zinc"
73063049-threaded-or-threadable-tubes-gas-pipe-we,Iron and steel,7306 30 49,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel (excl. products plated or coated with zinc)"
73063072-other-tubes-pipes-and-hollow-profiles-we,Iron and steel,7306 30 72,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel, of an external diameter of <= 168,3 mm, plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas)"
73063077-other-tubes-pipes-and-hollow-profiles-we,Iron and steel,7306 30 77,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel of an external diameter of <= 168,3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used in drilling for oil or gas, precision tubes and threaded or threadable tubes ""gas pipe"")"
73063080-tubes-pipes-and-hollow-profiles-welded-h,Iron and steel,7306 30 80,"Tubes, pipes and hollow profiles, welded, having a circular cross-section, of iron or steel, of an external diameter of > 168,3 mm but <= 406,4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, or precision steel tubes, electrical conduit tubes or threaded or threadable tubes ""gas pipe"")"
73064020-tubes-pipes-and-hollow-profiles-welded-o,Iron and steel,7306 40 20,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)"
73064080-tubes-pipes-and-hollow-profiles-welded-o,Iron and steel,7306 40 80,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products cold-drawn or cold-rolled ""cold-reduced"", tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)"
73065021-precision-steel-tubes-welded-of-circular,Iron and steel,7306 50 21,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"""
73065029-precision-steel-tubes-welded-of-circular,Iron and steel,7306 50 29,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless (excl. cold-drawn or cold-rolled)"
73065080-tubes-pipes-and-hollow-profiles-welded-o,Iron and steel,7306 50 80,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and precision steel tubes)"
73066110-tubes-and-pipes-and-hollow-profiles-weld,Iron and steel,7306 61 10,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of stainless steel"
73066192-tubes-and-pipes-and-hollow-profiles-weld,Iron and steel,7306 61 92,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of <= 2 mm"
73066199-tubes-and-pipes-and-hollow-profiles-weld,Iron and steel,7306 61 99,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of > 2 mm"
73066910-tubes-pipes-and-hollow-profiles-welded-o,Iron and steel,7306 69 10,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)"
73066990-tubes-pipes-and-hollow-profiles-welded-o,Iron and steel,7306 69 90,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel other than stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)"
73069000-tubes-pipes-and-hollow-profiles-e-g-open,Iron and steel,7306 90 00,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)"
7307-tube-or-pipe-fittings-e-g-couplings-elbo,Iron and steel,7307,"Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel"
730711-tube-or-pipe-fittings-of-non-malleable-c,Iron and steel,7307 11,Tube or pipe fittings of non-malleable cast iron
73071910-tube-or-pipe-fittings-of-cast-iron-excl,Iron and steel,7307 19 10,Tube or pipe fittings of cast iron (excl. of non-malleable)
73071990-cast-tube-or-pipe-fittings-of-steel,Iron and steel,7307 19 90,Cast tube or pipe fittings of steel
73072100-flanges-of-stainless-steel-excl-cast-pro,Iron and steel,7307 21 00,Flanges of stainless steel (excl. cast products)
730722-threaded-elbows-bends-and-sleeves-of-sta,Iron and steel,7307 22,"Threaded elbows, bends and sleeves of stainless steel (excl. cast products)"
730723-butt-welding-tube-or-pipe-fittings-of-st,Iron and steel,7307 23,Butt welding tube or pipe fittings of stainless steel (excl. cast products)
730729-tube-or-pipe-fittings-of-stainless-steel,Iron and steel,7307 29,"Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings)"
73079100-flanges-of-iron-or-steel-excl-cast-or-st,Iron and steel,7307 91 00,Flanges of iron or steel (excl. cast or stainless products)
730792-threaded-elbows-bends-and-sleeves-of-sta,Iron and steel,7307 92,"Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)"
730793-butt-welding-fittings-of-iron-or-steel-e,Iron and steel,7307 93,"Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges)"
730799-tube-or-pipe-fittings-of-iron-or-steel-e,Iron and steel,7307 99,"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)"
7308-structures-and-parts-of-structures-e-g-b,Iron and steel,7308,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)"
7309-reservoirs-tanks-vats-and-similar-contai,Iron and steel,7309,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)"
7310-tanks-casks-drums-cans-boxes-and-similar,Iron and steel,7310,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s."
7311-containers-of-iron-or-steel-for-compress,Iron and steel,7311,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)"
731100-containers-of-iron-or-steel-for-compress,Iron and steel,7311 00,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)"
7318-screws-bolts-nuts-coach-screws-screw-hoo,Iron and steel,7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)"
73181100-coach-screws-of-iron-or-steel,Iron and steel,7318 11 00,Coach screws of iron or steel
73181210-wood-screws-of-stainless-steel-excl-coac,Iron and steel,7318 12 10,Wood screws of stainless steel (excl. coach screws)
73181290-wood-screws-of-iron-or-steel-other-than,Iron and steel,7318 12 90,Wood screws of iron or steel other than stainless (excl. coach screws)
73181300-screw-hooks-and-screw-rings-of-iron-or-s,Iron and steel,7318 13 00,"Screw hooks and screw rings, of iron or steel"
73181410-self-tapping-screws-of-stainless-steel-e,Iron and steel,7318 14 10,"Self-tapping screws, of stainless steel (excl. wood screws)"
73181491-spaced-thread-screws-of-iron-or-steel-ot,Iron and steel,7318 14 91,Spaced-thread screws of iron or steel other than stainless
73181499-self-tapping-screws-of-iron-or-steel-oth,Iron and steel,7318 14 99,Self-tapping screws of iron or steel other than stainless (excl. spaced-thread screws and wood screws)
731815-threaded-screws-and-bolts-of-iron-or-ste,Iron and steel,7318 15,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. coach screws and other wood screws, screw hooks and screw rings, self-tapping screws, lag screws, stoppers, plugs and the like, threaded)"
731816-nuts-of-iron-or-steel,Iron and steel,7318 16,Nuts of iron or steel
73181900-threaded-articles-of-iron-or-steel-n-e-s,Iron and steel,7318 19 00,"Threaded articles, of iron or steel, n.e.s."
73182100-spring-washers-and-other-lock-washers-of,Iron and steel,7318 21 00,"Spring washers and other lock washers, of iron or steel"
73182200-washers-of-iron-or-steel-excl-spring-was,Iron and steel,7318 22 00,Washers of iron or steel (excl. spring washers and other lock washers)
73182300-rivets-of-iron-or-steel-excl-tubular-and,Iron and steel,7318 23 00,Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses)
73182400-cotters-and-cotter-pins-of-iron-or-steel,Iron and steel,7318 24 00,"Cotters and cotter pins, of iron or steel"
73182900-non-threaded-articles-of-iron-or-steel,Iron and steel,7318 29 00,"Non-threaded articles, of iron or steel"
7326-articles-of-iron-or-steel-n-e-s-excl-cas,Iron and steel,7326,"Articles of iron or steel, n.e.s. (excl. cast articles)"
73261100-grinding-balls-and-similar-articles-for,Iron and steel,7326 11 00,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not further worked"
732619-articles-of-iron-or-steel-forged-or-stam,Iron and steel,7326 19,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excl. grinding balls and similar articles for mills)"
73262000-articles-of-iron-or-steel-wire-n-e-s,Iron and steel,7326 20 00,"Articles of iron or steel wire, n.e.s."
73269030-ladders-and-steps-of-iron-or-steel,Iron and steel,7326 90 30,"Ladders and steps, of iron or steel"
73269040-pallets-and-similar-platforms-for-handli,Iron and steel,7326 90 40,"Pallets and similar platforms for handling goods, of iron or steel"
73269050-reels-for-cables-piping-and-the-like-of,Iron and steel,7326 90 50,"Reels for cables, piping and the like, of iron or steel"
73269060-ventilators-non-mechanical-guttering-hoo,Iron and steel,7326 90 60,"Ventilators, non-mechanical, guttering, hooks and like articles used in the building industry, n.e.s., of iron or steel"
73269092-articles-of-iron-or-steel-open-die-forge,Iron and steel,7326 90 92,"Articles of iron or steel, open-die forged, n.e.s."
73269094-articles-of-iron-or-steel-closed-die-for,Iron and steel,7326 90 94,"Articles of iron or steel, closed-die forged, n.e.s."
73269096-sintered-articles-of-iron-or-steel-n-e-s,Iron and steel,7326 90 96,"Sintered articles of iron or steel, n.e.s."
73269098-articles-of-iron-or-steel-n-e-s,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s."
