good_key,product_group,cn_code,goods_description
31028000-mixtures-of-urea-and-ammonium-nitrate-in,Fertilisers,3102 80 00,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg)
31029000-mineral-or-chemical-nitrogen-fertilisers,Fertilisers,3102 90 00,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg)
3105-mineral-or-chemical-fertilisers-containi,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium"
31051000-mineral-or-chemical-fertilisers-of-anima,Fertilisers,3105 10 00,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg"
31052010-mineral-or-chemical-fertilisers-containi,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
31052090-mineral-or-chemical-fertilisers-containi,Fertilisers,3105 20 90,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
31053000-diammonium-hydrogenorthophosphate-diammo,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
31054000-ammonium-dihydrogenorthophosphate-monoam,Fertilisers,3105 40 00,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
31055100-other-mineral-or-chemical-fertilisers-co,Fertilisers,3105 51 00,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates)
31055900-other-mineral-or-chemical-fertilisers-co,Fertilisers,3105 59 00,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates)
31059020-mineral-or-chemical-fertilisers-containi,Fertilisers,3105 90 20,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
31059080-mineral-or-chemical-fertilisers-containi,Fertilisers,3105 90 80,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)"
28041000-hydrogen,Hydrogen,2804 10 00,Hydrogen
26011200-agglomerated-iron-ores-and-concentrates,Iron and steel,2601 12 00,Agglomerated iron ores and concentrates (excl. roasted iron pyrites)
7201-pig-iron-and-spiegeleisen-in-pigs-blocks,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms"
720211-ferro-manganese-containing-by-weight-2-o,Iron and steel,7202 11,"Ferro-manganese, containing by weight > 2% of carbon"
720219-ferro-manganese-containing-by-weight-2-c,Iron and steel,7202 19,"Ferro-manganese, containing by weight <= 2% carbon"
720241-ferro-chromium-containing-by-weight-4-of,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon"
720249-ferro-chromium-containing-by-weight-4-of,Iron and steel,7202 49,"Ferro-chromium, containing by weight <= 4% of carbon"
72026000-ferro-nickel,Iron and steel,7202 60 00,Ferro-nickel
7203-ferrous-products-obtained-by-direct-redu,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms"
7205-granules-and-powders-of-pig-iron-spiegel,Iron and steel,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)"
7206-iron-and-non-alloy-steel-in-ingots-or-ot,Iron and steel,7206,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)"
72061000-ingots-of-iron-and-non-alloy-steel-excl,Iron and steel,7206 10 00,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)"
72069000-iron-and-non-alloy-steel-in-puddled-bars,Iron and steel,7206 90 00,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)"
7207-semi-finished-products-of-iron-or-non-al,Iron and steel,7207,Semi-finished products of iron or non-alloy steel
72071111-semi-finished-products-of-non-alloy-free,Iron and steel,7207 11 11,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting"
72071114-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)"
72071116-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 11 16,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)"
72071190-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 11 90,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged"
72071210-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 12 10,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting"
72071290-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 12 90,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged"
72071912-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 19 12,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting"
